Gender,Age Groups,Category,Product Name,Product Price,Image_url,colors,First Age,Last Age,sizes,description,HEEL HEIGHT,DESCRIPTION,FOOTWEAR STYLE,NICE TO KNOW
unisex,newborn,shoes,SOFT SLIPPERS,8.99,https://image.hm.com/assets/hm/bf/e2/bfe2557405424df0129c8ffb6ce75aab19f5d060.jpg?imwidth=1536,"['Light grey', 'Rust red']",0,15,"['00', '0', '0.5-1.5', '2-3', '3.5-4.5', '5.5-6', '7-7.5']","Soft sole slippers in soft fabric with a hook and loop tab at the top and soft, fluffy linings.",No heel,"Light grey, Solid colour",,
unisex,newborn,shoes,SOFT SLIPPERS,8.99,https://image.hm.com/assets/hm/e6/b9/e6b9555805f39fe48536dd16e9ade87090734c34.jpg?imwidth=1536,"['Rust red', 'Light grey']",0,15,"['00', '0', '0.5-1.5', '2-3', '3.5-4.5', '5.5-6', '7-7.5']","Soft sole slippers in soft fabric with a hook and loop tab at the top and soft, fluffy linings.",No heel,"Rust red, Block-coloured, Fox",,
unisex,newborn,shoes,BALLET PUMPS,7.99,https://image.hm.com/assets/hm/f3/1b/f31b4010d0a6b5e043309ae60e2fb8722164e622.jpg?imwidth=1536,"['Black', 'Gold-coloured', 'Cream', 'White/Hearts', 'Silver-coloured']",0,15,"['0', '1', '2-3', '4-5', '5.5', '6.5', '7', '8']",Ballet pumps with an elastic strap over the foot. Satin linings and insoles in Cellfit™ technical foam for extra comfort. Patterned soles. Height of soles 0.4 cm.,No heel,"Black/White, Block-coloured",Ballet pumps,
unisex,newborn,shoes,BALLET PUMPS,7.99,https://image.hm.com/assets/hm/85/54/8554c74428ebd33c67437bd892468d341b6112c2.jpg?imwidth=1536,['Silver-coloured'],0,15,"['0', '1', '2-3', '4-5', '5.5', '6.5', '7', '8']",Ballet pumps with an elastic strap over the foot. Satin linings and insoles in Cellfit™ technical foam for extra comfort. Patterned soles. Height of soles 0.4 cm.,No heel,"Silver-coloured, Solid colour",Ballet pumps,
unisex,newborn,shoes,COTTON-KNIT BOOTEES,7.99,https://image.hm.com/assets/hm/c0/4e/c04ee6fc343b025df42c75695d44029e99d51b55.jpg?imwidth=1536,"['Light beige', 'Light dusty pink']",0,15,"['00', '0']",Bootees in a soft cotton-knit with ribbed foldover shafts. Lined.,No heel,"Light beige, Solid colour",Bootees,
unisex,newborn,shoes,BALLET PUMPS,7.99,https://image.hm.com/assets/hm/e1/5e/e15e2c2c448258da15cf93217009355829772628.jpg?imwidth=1536,"['White/Hearts', 'Gold-coloured', 'Cream', 'Black', 'Silver-coloured']",0,15,"['0', '1', '2-3', '4-5', '5.5', '6.5', '7', '8']",Ballet pumps with an elastic strap over the foot. Satin linings and insoles in Cellfit™ technical foam for extra comfort. Patterned soles. Height of soles 0.4 cm.,No heel,"White/Black, Patterned, Hearts",Ballet pumps,
unisex,newborn,shoes,COTTON-KNIT BOOTEES,7.99,https://image.hm.com/assets/hm/8e/1d/8e1d5312e3b5b049d48e25d75f9cf66f1712a5fe.jpg?imwidth=1536,"['Light dusty pink', 'Light beige']",0,15,"['00', '0']",Bootees in a soft cotton-knit with ribbed foldover shafts. Lined.,No heel,"Light dusty pink, Solid colour",Bootees,
unisex,newborn,shoes,SOFT APPLIQUÉD SLIPPERS,12.99,https://image.hm.com/assets/hm/e4/98/e49846170952073ab254aa2786cf819b5b24f53e.jpg?imwidth=1536,"['Light pink/Minnie Mouse', 'Black/Mickey Mouse']",0,15,"['00', '0', '0.5-1.5', '2-3', '3.5-4.5', '5.5-6', '7-7.5 ']","Soft slippers in velour with appliqués at the front and narrow elastication around the opening. Velour linings and insoles, and soft soles.",No heel,"Light pink/Black/Light beige, Minnie Mouse, Minnie Mouse, Disney",,
unisex,newborn,shoes,SOFT APPLIQUÉD SLIPPERS,12.99,https://image.hm.com/assets/hm/63/10/63104eb461a912103afad18973e3e3ac14c6b227.jpg?imwidth=1536,"['Black/Mickey Mouse', 'Light pink/Minnie Mouse']",0,15,"['00', '0', '0.5-1.5', '2-3', '3.5-4.5', '5.5-6', '7-7.5']","Soft slippers in velour with appliqués at the front and narrow elastication around the opening. Velour linings and insoles, and soft soles.",No heel,"Black/Light beige, Mickey Mouse, Mickey Mouse, Disney",,
unisex,newborn,shoes,LOAFERS,12.99,https://image.hm.com/assets/hm/b9/20/b9205c9dad8f6dc2c87d90029b10ca7454e8fe42.jpg?imwidth=1536,['Grey'],0,15,"['2-3', '4-5', '5.5', '6.5', '7', '8']",Classic loafers with a moccasin seam at the front and insoles in Cellfit™ technical foam for extra comfort. Fluted soles. Height of soles 0.4 cm.,No heel,"Grey, Solid colour",Loafers,
unisex,newborn,shoes,GLITTERY BALLET PUMPS,12.99,https://image.hm.com/assets/hm/1d/50/1d5086dfebccbce0f9a6cae1348a7e7c22628dfb.jpg?imwidth=1536,['Black'],0,15,"['0', '1', '2-3', '4-5', '5.5', '6.5', '7', '8']",Glittery ballet pumps with a grosgrain trim around the opening and a buckled strap over the foot. Satin linings and insoles. Fluted soles.,No heel,"Black, Solid colour",Ballet pumps,
